"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"CURRENT_AGE_DEID",0.991196575764644,0.00151839911345812,-5.82350399901574,5.76264349140525e-09,0.988251152220599,0.994150777967672
"GENDERMale",1.34396656286068,0.0323021338933369,9.15188340014152,5.59494560012328e-20,1.26151621645193,1.43180571009044
"STAGE_HIGHEST_RECORDEDStage 4",2.8219040773452,0.0336636345687688,30.8169891671964,1.55174634241198e-208,2.64172562772768,3.0143715676435
"TMB_NONSYNONYMOUS",1.00211400375072,0.00186298890560501,1.1335399704313,0.256987565771864,0.998461565835343,1.00577980252362
"SMOKING_PREDICTIONS_3_CLASSESNever",0.67825009456337,0.0400927857903587,-9.68351738017369,3.54311801586967e-22,0.626993187142616,0.733697271690742
"HISTORY_OF_PDL1Yes",0.820758132786586,0.0338641904169534,-5.83291114443123,5.44685778345628e-09,0.768050796102639,0.877082500211743
"PRIOR_MED_TO_MSKPrior medications to MSK",1.3205403464233,0.0425333567678932,6.53701065035439,6.27605811993389e-11,1.21491869733559,1.43534444762116
"PDL1_POSITIVEYes",1.14281348280991,0.0544608931229619,2.45117517724245,0.0142390637227331,1.02711284199061,1.27154739294366
