"term","estimate","std.error","statistic","df","p.value","HR","conf.low","conf.high"
"CURRENT_AGE_DEID",-0.00878499313061066,0.00152718156077466,-5.75242221111844,3936.62456958581,9.46629821519065e-09,0.991253482170688,0.988290823291934,0.994225022390263
"GENDERMale",0.297995557314815,0.0323563715653161,9.20979525510971,3897.40933601494,5.20504041091652e-20,1.34715580287713,1.26437391277316,1.43535764135236
"STAGE_HIGHEST_RECORDEDStage 4",1.03620009190282,0.0340133609872889,30.4645016495153,3204.05074939279,3.08087395411378e-179,2.81848664982116,2.63671521145928,3.0127891554976
"TMB_NONSYNONYMOUS",0.00179454170604147,0.00189053780966736,0.949222859688388,3438.74076563823,0.342573981330338,1.00179615285963,0.998090912229774,1.00551514855723
"SMOKING_PREDICTIONS_3_CLASSESNever",-0.355127973841256,0.0407497704027152,-8.71484600604261,900.474615649196,1.38133769044687e-17,0.701083717091079,0.647266269816995,0.759375857032088
"HISTORY_OF_PDL1Yes",-0.170525118582514,0.149863641006909,-1.13786851458288,16.089377074517,0.271836749262519,0.843221908823504,0.628601445569581,1.13111923704803
"PRIOR_MED_TO_MSKPrior medications to MSK",0.322058437294975,0.0417799349557666,7.7084475511019,523.019651615918,6.45626192294348e-14,1.37996541504707,1.27146498197565,1.49772472991514
"PDL1_POSITIVEYes",0.140837809784477,0.153776967844954,0.915857633026533,14.6970886250996,0.374524829079844,1.15123791331661,0.851662423521293,1.55619021862885
